157.245.176.143 
217.154.235.150
209.38.70.156
159.65.125.71
162.216.149.67   #bad IP USA
192.42.116.16
178.62.240.220
45.153.231.120
176.97.75.205
209.38.70.156
14.139.185.60   #ransomware "Nightspire"
18.191.151.17   #INCIDENT TAQA_45784
160.119.76.43   #INCIDENT TAQA_45780
5.226.137.151  	#APT28
5.226.137.230  	#APT28
5.226.137.231  	#APT28
5.226.137.232  	#APT28
5.226.137.234  	#APT28
5.226.137.235  	#APT28
5.226.137.242  	#APT28
5.226.137.243  	#APT28
5.226.137.244  	#APT28
5.226.137.245  	#APT28
23.106.120.119  #APT28
37.221.64.77    #APT28
37.221.64.78    #APT28
37.221.64.93    #APT28
37.221.64.101  	#APT28
37.221.64.116  	#APT28
37.221.64.131  	#APT28
37.221.64.148  	#APT28
37.221.64.149  	#APT28
37.221.64.150  	#APT28
37.221.64.151  	#APT28
37.221.64.163  	#APT28
37.221.64.173  	#APT28
37.221.64.199  	#APT28
37.221.64.208  	#APT28
37.221.64.224  	#APT28
37.221.64.254  	#APT28
64.120.31.96    #APT28
64.120.31.97    #APT28
64.120.31.98    #APT28
64.120.31.99    #APT28
64.120.31.100  	#APT28
77.83.197.37    #APT28
77.83.197.38    #APT28
77.83.197.39    #APT28
77.83.197.40    #APT28
77.83.197.41    #APT28
77.83.197.42    #APT28
77.83.197.43    #APT28
77.83.197.44    #APT28
77.83.197.45    #APT28
77.83.197.46    #APT28
77.83.197.47    #APT28
77.83.197.48    #APT28
77.83.197.49    #APT28
77.83.197.50    #APT28
77.83.197.51    #APT28
77.83.197.52    #APT28
77.83.197.53    #APT28
77.83.197.54    #APT28
77.83.197.55    #APT28
77.83.197.56    #APT28
77.83.197.57    #APT28
77.83.197.58    #APT28
77.83.197.59    #APT28
77.83.197.60    #APT28
79.141.160.78  	#APT28
79.141.161.66  	#APT28
79.141.161.67  	#APT28
79.141.161.68  	#APT28
79.141.161.69  	#APT28
79.141.161.70  	#APT28
79.141.161.71  	#APT28
79.141.161.72  	#APT28
79.141.161.73  	#APT28
79.141.161.74  	#APT28
79.141.161.75  	#APT28
79.141.161.76  	#APT28
79.141.161.77  	#APT28
79.141.161.78  	#APT28
79.141.161.79  	#APT28
79.141.161.80  	#APT28
79.141.161.81  	#APT28
79.141.161.82  	#APT28
79.141.161.83  	#APT28
79.141.161.84  	#APT28
79.141.161.85  	#APT28
79.141.173.70  	#APT28
79.141.173.96  	#APT28
79.141.173.97  	#APT28
79.141.173.98  	#APT28
79.141.173.103  #APT28
79.141.173.119  #APT28
79.141.173.120  #APT28
79.141.173.121  #APT28
79.141.173.122  #APT28
79.141.173.211  #APT28
79.141.173.231  #APT28
79.141.173.232  #APT28
79.141.173.233  #APT28
185.117.88.22  	#APT28
185.117.88.28  	#APT28
185.117.88.29  	#APT28
185.117.88.30  	#APT28
185.117.88.31  	#APT28
185.117.88.50  	#APT28
185.117.88.60  	#APT28
185.117.88.61  	#APT28
185.117.88.62  	#APT28
185.117.89.32  	#APT28
185.117.89.46  	#APT28
185.117.89.47  	#APT28
185.237.166.55  #APT28
185.237.166.56  #APT28
185.237.166.57  #APT28
185.237.166.58  #APT28
185.237.166.59  #APT28
185.237.166.60  #APT28
185.237.166.61  #APT28
185.237.166.62  #APT28
185.237.166.63  #APT28
185.237.166.64  #APT28
185.237.166.65  #APT28
185.237.166.66  #APT28
185.237.166.67  #APT28
185.237.166.68  #APT28
185.237.166.69  #APT28
185.237.166.70  #APT28
185.237.166.71  #APT28
185.237.166.72  #APT28
185.237.166.73  #APT28
185.237.166.74  #APT28
185.237.166.75  #APT28
185.237.166.224	#APT28
185.237.166.225	#APT28
185.237.166.226	#APT28
185.237.166.227	#APT28
185.237.166.228	#APT28
185.237.166.229	#APT28
185.237.166.230	#APT28
185.237.166.231	#APT28
185.237.166.232	#APT28
185.237.166.233	#APT28
185.237.166.234	#APT28
185.237.166.235	#APT28
185.237.166.236	#APT28
185.237.166.237	#APT28
185.237.166.238	#APT28
185.237.166.239	#APT28
185.237.166.240	#APT28
185.237.166.241	#APT28
185.237.166.242	#APT28
185.237.166.243	#APT28
185.237.166.244	#APT28
185.237.166.245	#APT28
185.237.166.246	#APT28
185.237.166.247	#APT28
185.237.166.248	#APT28
185.237.166.249	#APT28
64.44.154.227  	#APT28
64.44.154.237  	#APT28
64.44.154.238  	#APT28
64.44.154.239  	#APT28
64.44.154.240  	#APT28
77.83.198.39    #APT28
79.141.173.123  #APT28
79.141.173.200  #APT28
79.141.173.210  #APT28
79.141.173.246  #APT28
79.141.173.247  #APT28
79.141.173.248  #APT28
79.141.173.249  #APT28
79.141.173.250  #APT28
79.141.173.251  #APT28
79.141.173.252  #APT28
79.141.173.253  #APT28
79.141.173.254  #APT28
79.143.87.229  	#APT28
79.143.87.232  	#APT28
79.143.87.240  	#APT28
79.143.87.243  	#APT28
79.143.87.249  	#APT28

88.80.148.49    #APT28
88.80.148.53    #APT28
89.150.40.43    #APT28
89.150.40.86    #APT28
103.140.186.148	#APT28
103.140.186.149	#APT28
103.140.186.155	#APT28
185.234.73.58  	#APT28
185.234.73.61  	#APT28
185.234.73.62  	#APT28
160.119.76.55    #INCIDENT TAQA_46406
143.198.150.150  #NCIDENT TAQA_46443
185.224.128.136  #TAQA_46443
143.198.150.150  #INCIDENT TAQA_46443
185.224.128.136  #INCIDENT TAQA_46443
104.225.129.171 # CastleRAT  malware
38.248.95.118	  # CastleRAT  malware
139.60.162.100	# CastleRAT  malware
45.11.181.59  	# CastleRAT  malware
144.124.225.129	# CastleRAT  malware
45.11.181.63	  # CastleRAT  malware
144.172.101.142	# CastleRAT  malware
45.153.34.41	  # CastleRAT  malware
144.208.126.50	# CastleRAT  malware
45.156.87.76	  # CastleRAT  malware
162.33.177.87  	# CastleRAT  malware
5.35.44.176	    # CastleRAT  malware
170.130.55.115	# CastleRAT  malware
5.9.230.12    	# CastleRAT  malware
172.86.89.253  	# CastleRAT  malware
64.23.145.78	  # CastleRAT  malware
173.232.146.55	# CastleRAT  malware
67.213.208.9	  # CastleRAT  malware
173.239.211.60	# CastleRAT  malware
68.227.235.200	# CastleRAT  malware
185.158.248.31	# CastleRAT  malware
77.238.241.203	# CastleRAT  malware
192.210.150.228	# CastleRAT  malware
89.251.0.115	  # CastleRAT  malware
193.143.1.41	  # CastleRAT  malware
89.251.0.95	    # CastleRAT  malware
193.24.211.84  	# CastleRAT  malware
91.215.85.6    	# CastleRAT  malware
194.180.191.13	# CastleRAT  malware
94.26.90.106	  # CastleRAT  malware
194.76.227.242	# CastleRAT  malware
94.26.90.161	  # CastleRAT  malware
212.34.147.218	# CastleRAT  malware
94.26.90.163	  # CastleRAT  malware
23.94.145.120	  # CastleRAT  malware
94.26.90.64    	# CastleRAT  malware
23.94.252.73	  # CastleRAT  malware
87.106.76.212   # NetWire  malware
134.19.176.119  # NetWire  malware
188.166.230.26 # NetWire  malware
